,TN,FP,FN,TP,Accuracy,Precision,Recall,Total_Actual_Neg,Total_Actual_Pos,Total_Pred_Neg,Total_Pred_Pos,TP_Rate,FP_Rate,TN_Rate,FN_Rate
0,7657.0,570.0,605.0,2994.0,0.9006426517842043,0.8400673400673401,0.8318977493748263,8227.0,3599.0,8262.0,3564.0,0.8318977493748263,0.06928406466512702,0.930715935334873,0.16810225062517367
1,7677.0,550.0,611.0,2988.0,0.9018264840182648,0.8445449406444319,0.8302306196165602,8227.0,3599.0,8288.0,3538.0,0.8302306196165602,0.06685304485231555,0.9331469551476844,0.16976938038343983
4,7695.0,532.0,616.0,2983.0,0.9029257568070354,0.8486486486486486,0.828841344818005,8227.0,3599.0,8311.0,3515.0,0.828841344818005,0.06466512702078522,0.9353348729792148,0.171158655181995
5,7750.0,477.0,634.0,2965.0,0.9060544562827668,0.8614177803602556,0.8238399555432064,8227.0,3599.0,8384.0,3442.0,0.8238399555432064,0.057979822535553664,0.9420201774644463,0.17616004445679356
