,advGAN
0,84.39954214830641
1,129.30227424527382
2,126.88200796532384
3,127.01755384345503
4,37.687263551289774
5,123.23722677218926
6,85.79539387038794
7,128.50180871781532
8,53.020962006638236
9,49.79751970480056
10,99.26995233956748
11,59.64718247288069
12,94.38617483508907
13,90.29807410736953
14,50.40440218637282
15,129.90895249173553
16,53.58994838922104
17,95.6142916798399
18,69.58228464154867
19,94.47033677959448
20,55.81905231695089
21,64.813426644774
22,117.2203204040366
23,63.05384874689946
24,87.89454296822841
25,118.33452812630387
26,127.6295986561307
27,52.781846688456724
28,113.18416098056741
29,125.04543705439634
30,109.1512890727819
31,51.465261057368835
32,85.89910221718705
33,50.97568306233743
34,97.7282934258933
35,46.8302468655075
36,61.32824243619329
37,97.81056807197523
38,128.71375399991254
39,57.07410205163109
40,56.110987080016244
41,75.96135170680549
42,106.00098577077007
43,119.67953628858193
44,60.716743565665226
45,47.350236766831486
46,60.84435188454225
47,115.03292667210549
48,92.90517258877462
49,115.32387731813174
50,58.44591767582018
51,129.83508169019652
52,93.15188370344424
53,113.86103783779595
54,128.1071938846527
55,121.82823221266284
56,52.55707230820011
57,81.68547960393573
58,120.21229187228526
59,55.08514361309227
60,70.33266724667315
61,80.68580555928038
62,56.42139036762232
63,59.66854247371474
64,95.69028102588318
65,128.97645436764805
66,83.89022193281825
67,96.93610975792251
68,64.83929578075127
69,48.81205485552468
70,48.552170213306376
71,56.83391158330891
72,58.65355281491907
73,69.59102065819987
74,88.1655879492532
75,130.19267572524961
76,93.52759034771505
77,74.76310242609652
78,103.5760212959544
79,58.458318484198635
80,66.71536876678041
81,54.1814645752182
82,60.59890909251688
83,121.5110953331526
84,115.11738659000429
85,64.27024243380447
86,106.85105725962659
87,67.44123599475324
88,51.46754751555221
89,127.74173621755342
90,51.828706753593615
91,51.69364713673117
92,106.51401022870184
93,48.855095051591086
94,39.35804756594418
95,129.13759921591387
96,91.1517718303517
97,67.91375289314566
98,58.26508028037141
99,128.6426737128858
100,77.4359078478373
101,71.03823381857477
102,127.63833641142068
103,96.91744030036595
104,52.93544998613287
105,48.117651123152044
106,58.229505347106894
107,66.59096369112329
108,129.26084184460117
109,119.64308901896507
110,44.6635739598522
111,61.88029885770389
112,128.4534509559786
113,129.3400466068031
114,72.64100646544279
115,44.15841041025976
116,128.89353346366914
117,125.89213668106916
118,58.721992991872305
119,50.33188921812517
120,56.16072342365926
121,129.2433735607942
122,59.387720676815846
123,102.49265408128038
124,127.40321081118796
125,84.65426584976389
126,120.91626913126703
127,53.72250841273377
128,78.71573535315223
129,63.464245439607566
130,102.95350797659835
131,128.1950418307978
132,123.97775758175335
133,45.80395394794673
134,109.21409146001947
135,62.784075113762924
136,70.40631588434556
137,63.56769659804616
138,52.820984433124444
139,71.15557751109536
140,126.78365323085819
141,51.34932020530432
142,77.83691885924057
143,120.79008295644556
144,105.85263008954949
145,82.2100907640753
146,110.35609089159964
147,119.69674409471212
148,60.490160938060825
149,44.688699175343814
150,129.19644985931308
151,59.52274381486458
152,81.29369317961418
153,72.36083086691308
154,49.86688334644045
155,70.47306666379717
156,53.97063410506796
157,68.86184084817948
158,128.37227662641962
159,130.60378117133516
160,43.144481559783515
161,74.97844742407648
162,60.462160493671576
163,79.33251200445817
164,56.49679799416733
165,44.32178945516316
166,106.8266703590447
167,90.68780151569449
168,126.80206493537477
169,53.723753584599336
170,129.94351236691273
171,76.43405360689206
172,127.32003997063856
173,51.148171991253754
174,117.71522011564605
175,63.14388640735538
176,68.00089038939123
177,88.45779636799263
178,64.10428134468673
179,51.36763842482687
180,128.75653047758394
181,62.820945483224385
182,66.91488296709484
183,75.14007752191903
184,126.06721375049304
185,97.40151275775956
186,113.40569457703612
187,127.52435046271555
188,75.62850585881954
189,120.41834224252342
190,111.82839025572844
191,54.31812758531907
192,46.70535447589227
193,83.77240838277243
194,78.79983542178245
195,123.27891711987901
196,50.13267066463495
197,59.35110538934806
198,53.24921370091417
199,78.72298953946839
200,126.88132681269533
201,57.27486496055665
202,70.66552349581443
203,46.721665878904616
204,130.32477460176173
205,114.02225745578141
206,83.42105409082889
207,89.98043678437136
208,116.50365052622814
209,71.11698452747592
210,104.3002913766304
211,91.64965988071096
212,58.520739929986576
213,81.87885844915951
214,55.531390686372156
215,59.76969553131629
