,Attack,Total,orig_image_detected,pertubed_image_detected,False Positive,Detection Rate
0,fgsm,11826,1472,2525,0.12447150346693725,0.2135125993573482
1,opt,11826,1472,8373,0.12447150346693725,0.7080162354134957
2,OptU,11826,1472,77,0.12447150346693725,0.006511077287332995
3,advGAN,11826,1472,5826,0.12447150346693725,0.4926433282597666
4,advGANU,11826,1472,1992,0.12447150346693725,0.16844241501775747
