,Attack,Total,orig_image_detected,pertubed_image_detected,False Positive,Detection Rate
0,fgsm,11826,4,2,0.00033823778116015557,0.00016911889058007779
1,opt,11826,4,18,0.00033823778116015557,0.0015220700152207
2,optU,11826,4,0,0.00033823778116015557,0.0
3,advGAN,11826,4,2,0.00033823778116015557,0.00016911889058007779
4,advGANU,11826,4,4,0.00033823778116015557,0.00033823778116015557
