,Attack,Total,orig_image_detected,pertubed_image_detected,False Positive,Detection Rate
0,fgsm,11826,1252,1387,0.1058684255031287,0.11728395061728394
1,opt,11826,1252,7880,0.1058684255031287,0.6663284288855065
2,optU,11826,1252,29,0.1058684255031287,0.002452223913411128
3,advGAN,11826,1252,58,0.1058684255031287,0.004904447826822256
4,advGANU,11826,1252,107,0.1058684255031287,0.009047860646034162
