,Attack,Total,orig_image_detected,pertubed_image_detected,False Positive,Detection Rate
0,fgsm,11826,7410,7883,0.6265854895991883,0.6665821072213767
1,opt,11826,7410,11151,0.6265854895991883,0.9429223744292238
2,optU,11826,7410,64,0.6265854895991883,0.005411804498562489
3,advGAN,11826,7410,150,0.6265854895991883,0.012683916793505834
4,advGANU,11826,7410,249,0.6265854895991883,0.021055301877219684
